transaction_id,filiaalnr,product_category,quantity,amount,transaction_date
1,3,bakery,1.0,63.42,2026-08-08
2,1,dairy,12.0,10.06,2026-08-24
3,3,bakery,10.0,36.73,2026-08-01
4,1,dairy,4.0,43.7,2026-08-01
5,3,dairy,12.0,inf,2026-08-18
6,2,dairy,8.0,50.7,2026-08-26
7,1,dairy,12.0,36.79,2026-08-09
8,1,dairy,6.0,10.03,2026-08-13
9,1,produce,6.0,51.91,2026-08-26
10,1,snacks,8.0,46.28,2026-08-30
11,2,bakery,9.0,25.98,2026-08-21
12,3,produce,10.0,,2026-08-03
13,1,snacks,4.0,66.05,2026-08-03
14,1,bakery,7.0,24.71,2026-08-21
15,2,dairy,6.0,31.17,2026-08-22
16,2,snacks,11.0,55.61,2026-08-20
17,3,dairy,9.0,62.38,2026-08-06
18,2,beverages,,84.13,2026-08-21
19,3,household,4.0,58.67,2026-08-27
20,1,dairy,1.0,68.72,2026-08-13
21,2,bakery,4.0,77.75,2026-08-19
22,3,produce,4.0,56.23,2026-08-13
23,3,beverages,3.0,-inf,2026-08-08
24,3,household,9.0,23.44,2026-08-19
25,2,household,7.0,31.73,2026-08-05
26,3,beverages,2.0,64.61,2026-08-28
27,1,dairy,11.0,14.86,2026-08-22
28,2,household,2.0,33.63,2026-08-20
29,2,household,5.0,82.59,2026-08-28
30,1,snacks,12.0,11.07,2026-08-29
